name,type,start_time,duration,"register","addr","data","waits","pkey"
"TPM SPI","read",5.19725884,1.6e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19726177,1.592e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19726469,1.57e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.19742604,1.568e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19742896,1.59e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19743189,1.604e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.19759425,1.598e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19759719,1.578e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19760014,1.566e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.19776247,1.562e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19776537,1.578e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19776829,1.6e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.19793064,1.6e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19793357,1.602e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19793653,1.584e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.19809886,1.584e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.1981018,1.57e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19810472,1.574e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.19826705,1.572e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19826999,1.594e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19827292,1.606e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.19843528,1.598e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19843821,1.582e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19844114,1.568e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.19860345,1.564e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19860634,1.57e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19860927,1.598e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.19877062,1.6e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19877355,1.578e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19877649,1.566e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.19893879,1.564e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19894169,1.58e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19894459,1.602e-06,"TPM_DATA_FIFO_0","d40024","01",0x0000000000000001,
"TPM SPI","read",5.19910692,1.6e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19910985,1.59e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19911279,1.572e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.19927514,1.57e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19927805,1.572e-06,"TPM_STS_0","d40018","94",0x0000000000000001,
"TPM SPI","read",5.19928097,1.596e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",5.19944331,1.596e-06,"TPM_STS_0","d40018","84",0x0000000000000001,
"TPM SPI","read",5.19944618,1.6e-06,"TPM_STS_0","d40018","84",0x0000000000000001,
"TPM SPI","read",5.19960853,1.596e-06,"TPM_STS_0","d40018","84",0x0000000000000001,
"TPM SPI","read",5.19961146,1.576e-06,"TPM_STS_0","d40018","84",0x0000000000000001,
"TPM SPI","write",5.19961443,1.566e-06,"TPM_STS_0","d40018","40",0x0000000000000001,
